Country,Year,childMortalityRate,GDP_per_Capita,lifeExpectancy,totalPopulationPoverty,birthRate,percentage_of_totalUrbanPopulation,percentageUsage_of_safely_managed_drinking_water,totalHealthcareExpenditure
Albania,2002,2.4338715,6753.914,75.299,33337.0,15.585,43.501,48.984764,5.66
Albania,2005,1.9964993,8040.1206,76.427,17800.0,13.862,46.731,52.57833,5.73
Albania,2008,1.5751128,9912.197,78.248,5892.0,12.209,49.991,58.32848,5.51
Albania,2012,1.1213188,11228.005,78.084,18003.0,12.868,54.33,66.38085,6.16
Albania,2014,0.9927909,11586.874,78.029,29558.0,13.071,56.423,70.56326,6.43
Albania,2015,0.9575397,11878.495,78.358,2767.0,12.431,57.434,70.59197,6.46
Albania,2016,0.94003564,12291.902,78.643,4006.0,11.873,58.421,70.61651,6.73
Albania,2017,0.93337697,12771.054,78.9,11280.0,11.416,59.383,70.63694,6.58
Albania,2018,0.9342903,13317.185,79.238,1379.0,10.898,60.319,70.65335,6.67
Albania,2019,0.93854076,13653.249,79.467,0.0,10.757,61.229,70.665855,6.86
Albania,2020,0.94281656,13278.435,77.824,604.0,10.536,62.112,70.67454,7.52
Algeria,2011,2.7089229,11113.969,74.383,0.0,24.76,68.236,75.46992,5.27
Armenia,2001,2.9134624,4346.9077,71.174,437848.0,11.731,64.385,82.45862,4.65
Armenia,2002,2.774214,4965.224,71.486,309467.0,11.985,64.236,82.57382,7.61
Armenia,2003,2.6387086,5698.7783,71.734,232526.0,12.838,64.137,82.6919,7.18
Armenia,2004,2.5091786,6334.856,71.926,163030.0,13.272,64.038,82.81056,6.06
Armenia,2005,2.3847854,7259.204,72.082,80129.0,13.51,63.938,82.929756,5.86
Armenia,2006,2.2685268,8273.786,72.219,60487.0,13.786,63.839,83.04957,5.85
Armenia,2007,2.1581595,9476.472,72.359,46154.0,14.239,63.739,83.16992,5.5
Armenia,2008,2.0527716,10201.56,72.519,26245.0,14.621,63.64,83.29089,6.64
Armenia,2009,1.9532334,8819.678,72.714,36984.0,14.971,63.54,83.26617,8.44
Armenia,2010,1.8574622,9068.788,72.938,28033.0,15.039,63.44,83.24159,9.24
Armenia,2011,1.7654841,9551.158,73.185,34710.0,15.253,63.34,83.21717,9.38
Armenia,2012,1.6792017,10289.976,73.44,24254.0,15.469,63.24,83.19289,9.13
Armenia,2013,1.5979998,10677.304,73.713,50434.0,15.445,63.164,83.16902,10.32
Armenia,2014,1.5202264,11105.532,73.98,41590.0,15.062,63.112,83.14535,10.18
Armenia,2015,1.4470651,11506.039,74.229,32999.0,14.304,63.085,83.07821,10.12
Armenia,2016,1.3767346,11580.384,74.494,31752.0,13.908,63.082,82.93473,9.95
Armenia,2017,1.3119541,12509.64,74.744,22406.0,12.934,63.103,82.79146,10.36
Armenia,2018,1.2497162,13231.431,74.978,38005.0,12.552,63.149,82.95984,10.01
Armenia,2019,1.1901386,14317.553,75.193,29054.0,12.331,63.219,82.822845,11.38
Armenia,2020,1.1337883,13357.697,68.89,9876.0,12.082,63.313,82.68582,12.24
Armenia,2021,1.0795308,14206.545,72.552,14611.0,12.415,63.431,82.548775,12.34
Austria,2000,0.5499205,46469.86,78.235,0.0,9.742,60.213,96.71924,9.2
Austria,2003,0.5192317,47633.113,78.849,26980.0,9.389,59.375,97.23301,9.55
Austria,2004,0.5050633,48633.273,79.362,6673.0,9.567,59.094,97.404274,9.71
Austria,2005,0.49011794,49387.027,79.52,12645.0,9.431,58.813,97.57553,9.63
Austria,2006,0.47643065,50840.695,79.965,7451.0,9.354,58.532,97.746796,9.53
Austria,2007,0.46498805,52565.074,80.166,30883.0,9.12,58.249,97.91805,9.53
Austria,2008,0.4543829,53166.055,80.363,39208.0,9.263,57.966,98.08932,9.73
Austria,2009,0.4439885,51030.727,80.206,54752.0,9.104,57.683,98.260574,10.23
Austria,2010,0.43251032,51843.43,80.463,41039.0,9.362,57.399,98.43184,10.22
Austria,2011,0.4193775,53179.15,80.828,34859.0,9.261,57.115,98.603096,10.03
Austria,2012,0.404944,53297.445,80.841,52006.0,9.302,57.147,98.77435,10.2
Austria,2013,0.39125857,52997.754,81.078,28662.0,9.286,57.336,98.91264,10.29
Austria,2014,0.37994617,52932.9,81.39,19166.0,9.476,57.526,98.91103,10.37
Austria,2015,0.3713604,52873.86,81.159,58528.0,9.669,57.715,98.909424,10.37
Austria,2016,0.36483037,53345.742,81.592,58017.0,9.975,57.905,98.90781,10.35
Austria,2017,0.35958904,54172.99,81.639,27984.0,9.927,58.094,98.906204,10.38
Austria,2018,0.35459232,55217.285,81.686,50246.0,9.66,58.297,98.90447,10.35
Austria,2019,0.34872368,55769.684,81.907,56888.0,9.542,58.515,98.90262,10.49
Austria,2020,0.3412336,51854.75,81.804,60954.0,9.356,58.748,98.90064,11.39
Austria,2021,0.3316873,53817.305,81.82,43509.0,9.518,58.995,98.898544,12.1
Azerbaijan,2001,6.9401026,4360.4595,66.043,499460.0,14.267,51.587,59.488415,2.77
Azerbaijan,2002,6.447319,4736.5645,66.769,6497.0,14.214,51.787,60.110435,2.73
Azerbaijan,2003,5.9952374,5180.6865,67.036,4165.0,14.446,51.988,60.72896,2.73
Azerbaijan,2004,5.5814238,5610.763,67.488,0.0,18.001,52.189,61.343765,2.66
Azerbaijan,2005,5.2121325,7106.598,67.71,0.0,18.312,52.389,61.954678,2.23
Bangladesh,2000,8.59611,2267.0754,62.049,43048940.0,29.589,23.59,55.318703,1.81
Bangladesh,2005,6.44563,2663.0962,65.509,33771944.0,26.055,26.809,55.21885,2.06
Bangladesh,2010,4.9121737,3395.3647,68.009,27042588.0,21.874,30.462,55.008587,2.29
Bangladesh,2016,3.6786962,4589.0938,71.075,21520270.0,20.226,35.083,56.8508,2.39
Belarus,2000,1.27619,8053.1733,68.464,1361461.0,9.063,69.973,81.812706,5.28
Belarus,2001,1.1833812,8477.084,68.435,657689.0,8.921,70.458,81.963066,5.71
Belarus,2002,1.0945287,8961.641,68.298,433526.0,8.727,70.939,82.11219,5.62
Belarus,2003,1.0148051,9660.193,68.429,343901.0,8.756,71.415,82.25976,5.77
Belarus,2004,0.9428797,10839.956,68.688,126573.0,8.877,71.887,83.36191,5.74
Belarus,2005,0.8733099,11940.186,68.982,86095.0,9.148,72.354,84.4452,6.07
Belarus,2006,0.8013787,13214.871,69.436,38283.0,9.859,72.816,85.50994,5.57
Belarus,2007,0.72985446,14417.353,69.986,20899.0,10.583,73.273,86.55645,5.69
Belarus,2008,0.6641608,15942.896,70.349,15866.0,11.028,73.726,87.58524,5.29
Belarus,2009,0.60736966,16014.114,70.409,13133.0,11.271,74.172,88.59596,5.39
Belarus,2010,0.55914116,17300.703,70.501,3219.0,11.251,74.672,89.600494,5.66
Belarus,2011,0.51917505,18274.02,71.068,622.0,11.574,75.188,90.58958,4.87
Belarus,2012,0.48580855,18611.453,71.8,1139.0,12.251,75.697,91.558914,5.25
Belarus,2013,0.45738965,18805.43,72.681,0.0,12.487,76.199,92.31101,5.7
Belarus,2014,0.43230692,19119.312,73.245,0.0,12.535,76.693,92.40423,5.39
Belarus,2015,0.40868983,18362.695,73.761,0.0,12.546,77.181,92.496704,6.07
Belarus,2016,0.38526317,17883.19,74.153,0.0,12.329,77.661,92.588005,5.91
Belarus,2017,0.36142287,18356.066,74.362,0.0,10.842,78.134,92.678314,5.76
Belarus,2018,0.33702394,18974.746,74.334,0.0,9.965,78.595,92.76655,5.53
Belarus,2019,0.3129022,19288.041,74.255,0.0,9.29,79.044,92.85267,5.86
Belarus,2020,0.2911196,19239.553,72.269,0.0,8.886,79.483,92.93711,6.41
Belgium,2000,0.5872167,43024.14,77.768,31318.0,11.303,97.129,99.63135,8.0
Belgium,2003,0.5322205,44160.91,78.32,30549.0,10.918,97.296,99.63135,9.16
Belgium,2004,0.5167834,45540.47,78.96,5421.0,11.173,97.35,99.631355,9.33
Belgium,2005,0.50271934,46342.188,79.053,20231.0,11.308,97.403,99.631355,9.22
Belgium,2006,0.49000502,47212.58,79.389,17820.0,11.507,97.454,99.63135,9.13
Belgium,2007,0.4782424,48590.402,79.528,16093.0,11.578,97.505,99.63135,9.14
Belgium,2008,0.46697307,48423.516,79.579,12682.0,11.759,97.555,99.63135,9.6
Belgium,2009,0.45601177,47064.79,79.849,11615.0,11.667,97.603,99.63135,10.32
Belgium,2010,0.44609037,47972.56,80.04,14940.0,11.762,97.651,99.63966,10.2
Belgium,2011,0.43706578,48154.87,80.366,18574.0,11.52,97.698,99.64798,10.36
Belgium,2012,0.42896238,48210.926,80.26,17390.0,11.385,97.744,99.656296,10.5
Belgium,2013,0.4218151,48204.586,80.467,16126.0,11.159,97.789,99.664604,10.58
Belgium,2014,0.4154728,48748.62,81.08,8574.0,11.049,97.833,99.67293,10.61
Belgium,2015,0.41051784,49456.4,80.889,7977.0,10.747,97.876,99.68124,10.8
Belgium,2016,0.4067153,49829.926,81.265,6778.0,10.668,97.919,99.68956,10.79
Belgium,2017,0.40308413,50442.27,81.362,16820.0,10.435,97.961,99.69787,10.8
Belgium,2018,0.39854434,51113.48,81.481,9269.0,10.264,98.001,99.706184,10.86
Belgium,2019,0.39286914,51977.17,81.835,9025.0,10.217,98.041,99.71451,10.79
Belgium,2020,0.38605934,49030.992,80.798,6315.0,10.014,98.079,99.72281,11.2
Belgium,2021,0.37812278,52174.906,81.659,3472.0,10.169,98.117,99.73113,11.04
Bhutan,2003,6.543248,5186.7124,64.662,84800.0,21.706,28.688,23.657469,4.13
Bhutan,2007,4.9682307,6955.8916,67.152,39898.0,20.795,32.469,25.27158,4.13
Bhutan,2012,3.5471597,9346.083,69.759,12478.0,17.589,36.371,34.166004,3.62
Bhutan,2017,2.8233972,11619.064,71.413,7151.0,13.759,40.167,56.59075,3.34
Bosnia and Herzegovina,2001,0.90629655,6965.4927,75.573,13665.0,9.977,42.698,87.472725,7.61
Bosnia and Herzegovina,2004,0.7729036,8180.7656,76.489,7505.0,10.125,43.648,87.83569,9.06
Bosnia and Herzegovina,2007,0.7076471,9803.973,76.162,2664.0,9.555,44.601,88.19037,9.53
Bosnia and Herzegovina,2011,0.6581684,10933.108,76.963,2807.0,8.865,45.878,88.65034,9.18
Brazil,2001,3.2412105,11536.364,69.98,23242706.0,19.185,81.553,76.59753,8.55
Brazil,2002,3.0300298,11739.432,70.396,21185508.0,18.49,81.88,76.98464,8.7
Brazil,2003,2.8309913,11733.411,70.884,23022010.0,17.819,82.203,77.26597,8.19
Brazil,2004,2.6443863,12268.664,71.361,20422522.0,17.5,82.521,77.54171,8.12
Brazil,2005,2.4727066,12520.855,71.832,18610434.0,17.176,82.834,77.811966,8.04
Brazil,2006,2.317732,12877.444,72.296,15604586.0,16.691,83.143,78.077126,8.25
Brazil,2007,2.1785789,13518.848,72.73,15015059.0,16.243,83.448,78.337265,8.2
Brazil,2008,2.056979,14067.946,73.111,12538463.0,15.801,83.749,78.59245,8.01
Brazil,2009,1.9515293,13916.963,73.457,11905237.0,15.564,84.044,78.84221,8.39
Brazil,2011,1.7867286,15271.47,74.047,10548393.0,15.141,84.631,79.329895,7.79
Brazil,2012,1.7235578,15425.353,74.335,8986021.0,14.935,84.923,79.56786,7.74
Brazil,2013,1.6715246,15751.484,74.609,7521300.0,14.785,85.209,80.38308,7.98
Brazil,2014,1.6276544,15695.644,74.823,6766963.0,14.784,85.492,81.1948,8.4
Brazil,2015,1.5909408,15011.577,75.106,7956117.0,14.684,85.77,82.002464,8.91
Brazil,2016,1.6688896,14402.494,75.081,9792223.0,14.146,86.042,82.74326,9.17
Brazil,2017,1.5306153,14477.861,75.383,11056501.0,14.123,86.309,83.605156,9.47
Brazil,2018,1.503918,14619.591,75.633,11151597.0,14.022,86.569,84.40004,9.46
Brazil,2019,1.4784147,14685.128,75.809,11455808.0,13.548,86.824,85.190926,9.61
Brazil,2020,1.4529544,14109.764,74.506,4159606.0,12.995,87.073,85.921616,10.18
Brazil,2021,1.4275074,14735.582,73.038,12504996.0,12.754,87.317,86.644035,9.89
Bulgaria,2006,1.2487419,15906.753,72.69,443192.0,9.775,70.932,92.78908,6.53
Bulgaria,2007,1.1889246,17090.451,73.008,135227.0,10.03,71.278,93.31077,6.16
Bulgaria,2008,1.1442215,18265.783,73.338,93746.0,10.394,71.622,93.832695,6.28
Bulgaria,2009,1.108997,17768.514,73.681,97206.0,10.848,71.963,94.35487,6.6
Bulgaria,2010,1.0752125,18164.055,73.814,148484.0,10.226,72.302,94.8773,7.1
Bulgaria,2011,1.034277,18663.006,74.169,180678.0,9.666,72.638,95.39997,7.1
Bulgaria,2012,0.9818427,18911.982,74.337,168725.0,9.473,72.975,95.92294,7.54
Bulgaria,2013,0.92421055,18914.898,74.828,129593.0,9.182,73.313,96.44623,7.14
Bulgaria,2014,0.8675979,19203.324,74.466,119940.0,9.339,73.651,96.923386,7.68
Bulgaria,2015,0.81593263,19982.867,74.621,245462.0,9.181,73.99,96.76209,7.39
Bulgaria,2016,0.77040374,20732.58,74.827,140168.0,9.123,74.329,96.60156,7.46
Bulgaria,2017,0.7318052,21458.049,74.798,97065.0,9.037,74.669,96.44181,7.49
Bulgaria,2018,0.699335,22196.02,74.933,61150.0,8.86,75.008,96.282814,7.33
Bulgaria,2019,0.67162603,23254.787,75.087,64430.0,8.817,75.347,96.124565,7.09
Bulgaria,2020,0.6475947,22466.918,73.599,17187.0,8.486,75.686,95.96708,8.48
Bulgaria,2021,0.6270866,24386.18,71.414,48085.0,8.579,76.025,95.81034,8.56
Canada,2000,0.62291735,41307.75,79.233,76046.0,10.674,79.478,98.16674,8.25
Canada,2001,0.6197735,41627.625,79.449,77360.0,10.685,79.81,98.17581,8.62
Canada,2002,0.618134,42412.414,79.566,75987.0,10.459,79.888,98.17795,8.86
Canada,2003,0.616447,42791.094,79.736,75031.0,10.516,79.967,98.18011,9.01
Canada,2004,0.613799,43704.668,80.029,77794.0,10.493,80.045,98.182236,9.07
Canada,2005,0.6094782,44683.766,80.131,78994.0,10.568,80.122,98.2408,9.04
Canada,2006,0.6034086,45401.465,80.54,81150.0,10.825,80.213,98.29947,9.34
Canada,2007,0.5962043,45884.383,80.542,81648.0,11.098,80.396,98.35997,9.45
Canada,2008,0.58847934,45841.996,80.73,81609.0,11.28,80.578,98.41991,9.61
Canada,2009,0.58047307,44000.402,81.065,82159.0,11.241,80.758,98.47926,10.66
Canada,2010,0.572749,44858.82,81.336,84615.0,11.049,80.937,98.53806,10.68
Canada,2011,0.5653129,45815.53,81.513,77657.0,10.967,81.096,98.59599,10.38
Canada,2012,0.55799925,46116.426,81.704,85578.0,10.968,81.137,98.65168,10.51
Canada,2013,0.5507258,46693.04,81.785,174182.0,10.843,81.178,98.70725,10.41
Canada,2014,0.5436183,47554.258,81.837,85815.0,10.835,81.218,98.7627,10.26
Canada,2015,0.5370306,47507.453,81.908,87795.0,10.694,81.259,98.81806,10.74
Canada,2016,0.5309502,47460.37,82.03,89809.0,10.551,81.3,98.87331,11.03
Canada,2017,0.5251514,48317.176,81.919,90271.0,10.266,81.35,98.928505,10.91
Canada,2018,0.5195316,48946.246,81.925,92652.0,10.035,81.411,98.98363,10.91
Canada,2019,0.51380694,49169.12,82.285,93491.0,9.855,81.482,99.03862,11.01
Central African Republic,2008,13.643628,1038.3353,49.873,2764512.0,42.457,38.506,7.489293,4.09
Central African Republic,2021,9.934717,838.19293,40.279,3583522.0,45.226,42.648,6.083898,9.07
Chad,2003,17.390053,1133.0654,48.609,5314602.0,50.028,21.735,5.6178207,5.51
Chad,2011,14.357805,1682.6577,50.426,4510350.0,48.49,22.054,5.8344636,3.91
Chad,2018,11.722278,1563.544,52.447,4899745.0,44.401,23.059,6.071436,4.57
Chile,2000,1.0890772,15415.754,77.128,894441.0,16.322,86.073,92.093025,7.0
Chile,2003,0.9505075,16636.654,77.884,838610.0,14.789,86.665,93.47617,7.25
Chile,2006,0.8962792,19339.488,78.533,334102.0,13.995,86.842,94.70764,6.07
Chile,2009,0.88232595,20255.1,78.89,280497.0,14.363,87.017,95.95955,7.25
Chile,2011,0.8546568,22323.723,79.236,155228.0,14.017,87.132,96.80475,6.8
Chile,2013,0.82498014,24011.592,79.551,90547.0,13.622,87.246,97.6581,7.48
Chile,2015,0.79592675,24464.746,80.008,76713.0,13.147,87.36,98.38248,8.35
Chile,2017,0.76121926,24546.912,80.61,66073.0,11.763,87.49,98.77024,9.09
Chile,2020,0.68559206,22970.55,79.349,258928.0,10.097,87.727,98.77137,9.73
Colombia,2000,2.5084386,9138.319,70.905,6861440.0,22.258,73.957,68.549515,5.64
Colombia,2001,2.4302683,9146.405,71.185,8364060.0,21.722,74.379,68.864174,5.94
Colombia,2002,2.3555844,9232.627,71.537,5735618.0,21.352,74.797,69.17526,5.73
Colombia,2003,2.2845845,9453.328,72.309,5339568.0,20.928,75.211,69.4828,5.78
Colombia,2004,2.21709,9816.277,72.76,5000941.0,20.278,75.62,69.786385,5.8
Colombia,2005,2.1514704,10150.708,73.156,4533185.0,19.579,76.024,70.08601,6.07
Colombia,2008,1.9592377,11507.525,74.206,4830818.0,18.191,77.204,70.884834,6.84
Colombia,2009,1.8963541,11507.717,74.531,4255112.0,17.656,77.587,71.12999,7.31
Colombia,2010,1.8357729,11890.203,74.876,3712740.0,16.93,77.964,71.37048,7.07
Colombia,2011,1.7766327,12578.016,75.18,3093760.0,16.321,78.335,71.60638,6.78
Colombia,2012,1.7183542,12934.966,75.611,3074343.0,15.986,78.701,71.83813,6.75
Colombia,2013,1.6621292,13465.075,75.834,2825924.0,15.63,79.061,72.06536,7.02
Colombia,2014,1.609964,13938.231,75.95,2535258.0,15.258,79.415,72.2881,7.19
Colombia,2015,1.560385,14215.688,76.067,2320871.0,14.764,79.764,72.506836,7.52
Colombia,2016,1.509533,14358.168,76.228,2340116.0,14.271,80.108,72.7216,7.53
Colombia,2017,1.4630193,14334.915,76.418,2098202.0,14.177,80.446,72.93201,7.68
Colombia,2018,1.4152622,14426.435,76.579,2216606.0,14.195,80.778,73.126434,7.63
Colombia,2019,1.3701354,14616.135,76.793,2652273.0,14.218,81.104,73.27192,7.78
Colombia,2020,1.3260086,13358.298,74.757,4767040.0,14.106,81.425,73.41323,8.71
Colombia,2021,1.2815459,14661.213,72.698,3778568.0,13.947,81.74,73.719894,9.02
Congo,2005,8.615249,4638.1997,58.73,1820028.0,37.033,60.988,31.195251,1.72
Congo,2011,5.9967995,4996.9194,62.286,1651431.0,38.403,63.712,41.3869,1.75
Costa Rica,2000,1.3109553,12570.696,77.317,275630.0,20.237,59.052,76.406235,6.56
Costa Rica,2001,1.2598679,12771.951,77.609,206502.0,19.408,60.41,76.75396,6.47
Costa Rica,2002,1.2156413,12986.001,77.939,192744.0,18.188,61.753,77.086716,6.87
Costa Rica,2003,1.1801822,13333.217,78.214,197882.0,17.572,63.08,77.40466,6.97
Costa Rica,2004,1.1536767,13713.009,78.512,198328.0,17.136,64.388,77.70785,6.63
Costa Rica,2005,1.1342883,14049.909,78.877,143890.0,17.253,65.672,77.99628,6.66
Costa Rica,2006,1.1195012,14864.781,79.049,146137.0,16.429,66.935,78.27048,6.94
Costa Rica,2007,1.1065214,15861.875,79.098,80838.0,16.604,68.174,78.530624,7.0
Costa Rica,2008,1.0921179,16385.002,79.18,108974.0,16.806,69.39,78.77712,7.47
Costa Rica,2009,1.0738909,16024.03,79.372,113047.0,16.525,70.575,79.010025,7.86
Costa Rica,2010,1.0504086,16667.016,79.354,68836.0,15.407,71.736,79.23004,8.03
Costa Rica,2011,1.0223815,17186.45,79.624,81913.0,15.759,72.868,79.437386,8.12
Costa Rica,2012,0.9907535,17809.941,79.925,79261.0,15.461,73.946,79.63195,7.79
Costa Rica,2013,0.9592749,18044.945,80.189,78705.0,14.77,74.97,79.81455,7.68
Costa Rica,2014,0.93023556,18480.652,80.231,72921.0,14.848,75.941,79.98602,7.66
Costa Rica,2015,0.9048977,18956.191,80.407,77013.0,14.704,76.862,80.14722,7.59
Costa Rica,2016,0.882923,19553.6,79.988,66104.0,14.184,77.735,80.29888,7.32
Costa Rica,2017,0.8636958,20168.22,79.994,58545.0,13.812,78.56,80.44177,7.05
Costa Rica,2018,0.84531987,20503.277,80.09,75901.0,13.622,79.34,80.52559,7.29
Costa Rica,2019,0.8264411,20818.062,80.296,53751.0,12.661,80.076,80.52068,7.22
Costa Rica,2020,0.80785495,19778.387,79.725,117387.0,11.366,80.771,80.516045,7.83
Costa Rica,2021,0.7903739,21220.162,78.05,64022.0,10.543,81.425,80.51169,7.57
Cote d'Ivoire,2008,11.033922,3522.234,54.179,6967603.0,40.474,46.491,24.474285,4.57
Cote d'Ivoire,2015,8.631452,4423.8267,58.281,7892434.0,38.768,49.444,35.010746,3.22
Cote d'Ivoire,2018,7.885119,4941.794,59.795,2969961.0,35.081,50.779,40.381012,3.09
Cote d'Ivoire,2021,7.1505523,5316.464,60.29,2724318.0,33.081,52.18,43.766457,3.13
Cyprus,2004,0.49853292,36498.637,79.007,958.0,11.894,68.41,96.10549,5.41
Cyprus,2005,0.46572262,37722.72,79.198,66.0,11.702,68.268,96.36541,5.44
Cyprus,2006,0.43463174,38847.344,79.456,192.0,12.023,68.125,96.6253,5.46
Cyprus,2007,0.4056492,39967.742,79.798,270.0,11.633,67.982,96.885155,5.36
Cyprus,2008,0.379103,40398.023,79.906,93.0,11.987,67.839,97.14498,6.01
Cyprus,2009,0.35556775,38535.41,80.375,1244.0,12.07,67.695,97.404785,6.47
Cyprus,2010,0.3354337,38297.0,80.632,414.0,11.844,67.551,97.66455,6.5
Cyprus,2011,0.31906718,37482.105,80.855,92.0,11.344,67.406,97.924286,6.43
Cyprus,2012,0.306786,35642.92,81.128,49.0,11.609,67.261,98.184,6.54
Cyprus,2013,0.29874167,33384.73,81.317,1132.0,11.027,67.137,98.44366,6.93
Cyprus,2014,0.29449257,33136.742,81.337,922.0,11.141,67.031,98.70326,6.93
Cyprus,2015,0.2940148,34453.39,81.464,318.0,11.242,66.946,98.962814,6.79
Cyprus,2016,0.29713795,36509.355,81.534,493.0,11.505,66.881,99.222305,6.65
Cyprus,2017,0.30310896,38288.27,81.543,397.0,11.158,66.836,99.48174,6.62
Cyprus,2018,0.31168562,39977.312,81.556,201.0,11.029,66.81,99.74111,6.83
Cyprus,2019,0.32284036,41741.805,81.454,1890.0,11.014,66.805,99.76519,7.07
Cyprus,2020,0.3347086,39871.87,81.23,156.0,11.142,66.821,99.765175,8.41
Cyprus,2021,0.34449404,43417.27,80.573,66.0,11.236,66.856,99.76513,9.43
Czechia,2002,0.4970314,26289.627,75.442,0.0,9.055,73.809,96.43583,6.18
Czechia,2004,0.45801467,28542.254,75.942,0.0,9.542,73.671,96.67268,6.35
Czechia,2005,0.43618184,30384.447,76.156,504.0,9.968,73.602,96.791664,6.34
Czechia,2006,0.4138964,32352.812,76.708,6738.0,10.327,73.533,96.91102,6.16
